NOME DO CARRO + MODELO,PREÇO,ANO,KM RODADOS,URL FOTO (NÃO MEXER),,,,,,,,C:\Users\usuario\Documents\UiPath\Postador-automatico-de-facebook\carros\carro 10
FIAT STRADA WORKING 1.4 CE,34900,2014,70500,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 1,,,,,,,,
GM CLASSIC 1.0 FLEX 8V COMPLETO(-ar),22.900,2012,82369,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 2,,,,,,,,
HONDA NEW CIVIC XLS AUTOMÁTICO,38900,2010,112523,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 3,,,,,,,,
CELTA LS  1.0 FLEX,18900,2012,110000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 4,,,,,,,,
SANDERO EXPRESSION 1.0 FLEX COMPLETO,30900,2015,91000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 5,,,,,,,,
ECOSPORT FREESTYLE 1.6 FLEX,34900,2012,87000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 6,,,,,,,,
FIESTA SEDAM 1.6 COMPLETO,26900,2012,103000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 7,,,,,,,,
PARATI 1.8 AP FLEX COMPLETA,21900,2006,186000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 8,,,,,,,,
FIESTA HATCH 1.0 FLEX COMPLETO,21900,2011,129000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 9,,,,,,,,
SANDERO EXPRESSION 1.0 FLEX COMPLETO(-ar),19900,2010,153000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 10,,,,,,,,
PALIO ECONOMY 1.0 FLEX FINANCIAMENTO TOTAL,20900,2014,70000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 11,,,,,,,,
AUDI 1.6 RODAS ARO 20,19900,2000,176000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 12,,,,,,,,
GOLF BLACK EDITION 2.0 FLEX TIPTRONIC,39900,2011,130000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 13,,,,,,,,
VECTRA ELITE 2.0 8V AUTOMATICO ,32900,2009,156000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 14,,,,,,,,
NEW ECOSPORT 1.6 FLEX MANUAL ,46900,2014,97956,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 15,,,,,,,,
CORSA 1.4 MAXX FLEX COMPLETO(-ar),23900,2012,-------,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 16,,,,,,,,
KA 1.0 8V FLEX ,19900,2012,98000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 17,,,,,,,,
HB 20 HATCH 1.0 CONFORT FLEX BAIXA KILOMETRAGEM,37900,2014,35000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 18,,,,,,,,
LINEA ESSENCE 1.8 FLEX 16V AUTOMÁTICO,34900,2014,126000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 19,,,,,,,,
NEW FIESTA 1.5 FLEX MANUAL,33900,2014,123000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 20,,,,,,,,
COROLLA XEI 2.0 FLEX COMPLETO AUTOMÁTICO ,48900,2011,------,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 21,,,,,,,,
SANDERO AUTENTIQUE 1.0 FLEX,18900,2010,144000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 22,,,,,,,,
COROLLA XEI 2.0 FLEX AUTOMÁTICO ,54900,2013,146000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 23,,,,,,,,
AGILE LT 1.4 FLEX COMPLETO,24900,2011,----,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 24,,,,,,,,
KA SE 1.0 FLEX COMPLETO ,34900,2015,95800,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 25,,,,,,,,
LOGAN EXPRESSION 1.6 COMPLETO ,23900,2012,158800,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 26,,,,,,,,
GOL VI 2013 1.0 FLEX  ,26900,2013,129800,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 27,,,,,,,,
DUSTER 2013 DYNAMIQUE ,40900,2013,96800,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 28,,,,,,,,
GOL G6 1.0 BAIXA KILOMETRAGEM ,22900,2013,67000,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 28,,,,,,,,
GRAN SIENA 1.4 COMPLETO ,32900,2013,-----,C:\Users\Usuario\Downloads\ROBÔ POSTADOR (NÃO EXCLUIR)\RoboPostador2.0-master\carros\carro 30,,,,,,,,
